Model,Engine Size (cm3),Horse Power (HP),Year,Location,Kilometers,Fuel Type,Price (EUR),URL
BMW Seria 3,1796,115,2002,Mehedinti,189000,Benzina,1100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HzDRI.html
BMW Seria 3,1796,115,2004,Timis,192000,Benzina,1400,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBzaL.html
BMW Seria 3 318i,1995,129,2006,Covasna,255000,Benzina,1500,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HBLxZ.html
BMW Seria 3,1995,150,2004,Dambovita,350000,Diesel,1899,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBsvh.html
BMW Seria 3,1995,129,2006,Salaj,320000,Benzina,2290,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBtpF.html
BMW Seria 3 318i,1995,129,2006,Ilfov,230000,Benzina,2300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7HBEDn.html
BMW Seria 3 316i Edition Sport,1796,115,2003,Cluj,264063,Benzina,2390,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316i-edition-sport-ID7HynQx.html
BMW Seria 3 318i Touring Edition Lifestyle,1995,143,2007,Sibiu,236603,Benzina,2575,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-touring-edition-lifestyle-ID7HASLP.html
BMW Seria 3 318 Ci,1995,143,2002,Dolj,205000,Benzina,2600,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318-ci-ID7HBD0s.html
BMW Seria 3 318i,1995,143,2004,Bucuresti,177300,Benzina,2650,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-ID7Hxtet.html
BMW Seria 3,1995,150,2004,Dolj,310000,Diesel,2699,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBgqf.html
BMW Seria 3 320d DPF Touring Edition Fleet,1995,149,2003,Suceava,230000,Diesel,2700,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-edition-fleet-ID7HB7DE.html
BMW Seria 3 318d Touring,1995,122,2007,Bacau,252000,Diesel,2799,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-touring-ID7Hx2Ym.html
BMW Seria 3 320d,1995,163,2007,Bucuresti,283000,Diesel,2800,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HxAWL.html
BMW Seria 3 318 Ci Coupe,1995,143,2002,Bucuresti,240000,Benzina,2990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318-ci-coupe-ID7HuLw5.html
BMW Seria 3 318d,1995,143,2008,Mures,303000,Diesel,2990,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318d-ID7Hv9HE.html
BMW Seria 3 318i Touring,1995,143,2007,Prahova,200000,Benzina,3000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-touring-ID7HAvKt.html
BMW Seria 3 316i,1599,122,2008,Bacau,242000,Benzina,3000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-316i-ID7HyAsj.html
BMW Seria 3 320i Touring Aut.,1995,150,2006,Bucuresti,160161,Benzina,3000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-touring-aut-ID7HAZPY.html
BMW Seria 3 320d,1995,177,2008,Iasi,295000,Diesel,3000,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7HBM3h.html
BMW Seria 3,1995,122,2007,Bucuresti,412000,Diesel,3100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBCEH.html
BMW Seria 3 320d DPF,1995,163,2005,Gorj,368000,Diesel,3100,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-ID7HxX8w.html
BMW Seria 3 320d,1995,150,2003,Suceava,266000,Diesel,3150,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-ID7Hxnrl.html
BMW Seria 3,1796,115,2004,Dambovita,176000,Benzina,3200,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HBBCG.html
BMW Seria 3 320d DPF Touring,1995,177,2008,Arges,249890,Diesel,3290,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320d-dpf-touring-ID7HzUeN.html
BMW Seria 3 318i Touring,1995,129,2007,Timis,210527,Benzina,3300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-318i-touring-ID7HBjai.html
BMW Seria 3 320i Touring,1995,150,2005,Satu Mare,104000,Benzina,3300,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-320i-touring-ID7Hieg3.html
